ID,Reference,Prediction,WER
0,"pendahuluan,  pendapat  awal  saya  mengenai  masalah  yang  sedang  dihadapi  oleh  orang  melayu  dibentangkan  untuk  pertama  kalinya  sewaktu  menjawab  cabaran  yang  dikemukakan  oleh  profesor  ungku  aziz,  professor  ekonomi,  (sekarang  professor  diraja  dan  naib","pendahuluan,  pendapat  awal  saya  mengenai  masalah  yang  sedang  dihadapi  oleh  orang  melayu  dibentankan  untuk  pertama  kalinya  sewaktu  menjawab  cabaran  yang  dikemukakan  oleh  profesor  ungku  aziz,  professor  ekonomi,  sekarang  profesor �di  raja  dan  naib.",0.1875
1,"canselor  di  universiti  malaya.  di  dalam  satu  seminar  yang  diadakan  di  kuala  lumpur  pada  tahun  1966,  ketika  membincangkan  sebab-sebab  lemahnya  pencapaian  pelajar-pelajar  melayu,  saya  telah  menyebut,  antara  lain,","canselor  di  universiti  malaya.  di  dalam  satu  seminar  yang  diadakan  di kuala  lumpur  pada  tahun  1966,  ketika  membincangkan  sebab-sebab  lemahnya  pencapaian  pelajar-pelajar  melayu,  saya  telah  menyebut,  antara  lain,",0.0
2,tentang  pengaruh  ke  turunan  dan  alam  sekitar  sebagai  faktor -faktor  yang  menyebabkan  wujudnya  masalah  ini.,tentang  pengaruh  ke  turunan  dan  alam  sekitar  sebagai  faktor –faktor  yang  menyebabkan  wujudnya  masalah  ini.,0.06666666666666667
3,"memang  tidak  dapat  dinafikan  bahawa  lain-lain  faktor  seperti  dasar  pelajaran,  kemudahan  yang  tidak  mencukupi,  kekurangan  guru  serta  guru  yang  tidak  cukup  terlatih  turut  memainkan  peranan  dalam  meningkatkan  lagi  peratus  kegagalan  di  kalangan  pelajar","memang  tidak  dapat  dinafikan  bahawa  lain-lain faktor  seperti  dasar  pelajaran,  kemudahan  yang  tidak  mencukupi,  kekurangan  guru  serta  guru  yang  tidak cukup  terlatih  turut  memainkan  peranan  dalam  meningkatkan  lagi  peratus  kegagalan  di  kalangan  pelaja.",0.030303030303030304
4,"melayu.  namun,  pada  hemat  saya,  faktor -faktor  keturunan  dan  alam  sekitar  tidak  boleh  diketepikan  begitu  sahaja  tanpa  diberi  perhatian  yang  serius.","melayu.  namun, pada  hemat  saya, faktor  faktor  keturunan dan  alam  sekitar  tidak  boleh  diketepikan  begitu  sahaja  tanpa  diberi  perhatian  yang  serius.  terima kasih.",0.14285714285714285
5,pandangan  yang  sedemikian  pada  umumnya  telah  tidak  dipersetujui  oleh  peserta -peserta  seminar  terutama sekali  oleh  profesor  ungku aziz  sebab  pandangan  tersebut  dikatakan  memberi  takrif  bahawa  orang  melayu  memang  pada  lahiriahnya  adalah  bersifat,"pandangan  yang  sedemikian  pada  umumnya  telah  tidak  dipersetujui  oleh  peserta-peseta  seminar,  terutama sekali  oleh  profesor  ungku aziz  sebab  pandangan  tersebut  dikatakan  memberi  takrif  bahawa  orang  melayu  memang  pada  lahiriannya  adalah  bersifat  ilam.",0.15625
6,"inferior  atau  rendandiri.  oleh  kerana sifat  ini  dikatakan  terdapat  dalam  zuriat  orang  melayu,  maka  ini  bermakna  is  kekal  turun-temurun.","inferior  atau  rendandiri.  oleh  kerana sifat  ini  dikatakan  terdapat  dalam  zuriat  orang  melayu,  maka  ini  bermakna  iskah  kekal  turun-temurun.  berikutnya  berbual-bual  dengan  wanita  merajuh.  terima kasih  bahawa  mencuba  yang  pentar adalah  wajah  dan  tundurkan  wang  tanah.  wain  mengenai  wangan  papan  meruput  antara  dan  kursi  yang  membuatkan  wangi  bintus  dan  mikir  halucan  dan  ekis  yang  berlap  sebab  agil  dan  mikri  yang  berubuk  pada  bagi  dimulih  ke  pemikinya  permata  semaga  penggitrung  yang  pekerh  kesudian  percaig  secira  pertum  perk  besi  sy:""mui  cabli",3.210526315789474
7,ini  bukanlah  apa  yang  saya  maksudkan  atau  apa  yang  telah  saya  rumuskan.  tujuan  saya  ialah  mahu  menumpukan  perhatian  kepada  beberapa  faktor  hakiki  yang  merencatkan  kemajuan  orang  melayu  terutama  faktor  yang  boleh  dibaiki.,"ini  bukanlah  apa  yang  saya  maksudkan  atau  apa  yang � telah  saya  rumuskan.  tujuan  saya,  ialah  mahu  menumpukan  perhatian  kepada  beberapa  faktor  hakiki  yang  merencatkan  kemajuan  orang  melayu  terutama  faktor  yang  boleh  dibaikin.",0.09375
8,"jika  amalan  yang  dianggap  kurang  baik  itu  diketahui  dan  diakui  oleh  umum,  maka  lebih  mudahlah  untuk  mengatasinya  pada  umumnya  orang-orang  islam,  termasuk  orang -orang  melayu  memang  tidak  dapat  menerima  fikiran -fikiran  moden  mengenai  evolusi","jika  amalan  yang  dianggap  kurang  baik  itu  diketahui  dan  diakuai  oleh  umum,  maka  lebih  mudahlah  untuk  mengatasinya  pada  umumnya  orang-orang  islam,  termasuk  orang-orang � melayu  memang  tidak  dapat  menerima  fikiran-fikiran  moden  mengenai  evolusi.",0.17647058823529413
9,manusia.  meskipun  begitu  orang  melayu  sendiri  mengakui  bahawa  ciri-ciri  tentu  dalam  diri  seseorang  itu  diturunkan  dari  ibu  bapa  kepada  anak -anak  mereka.,"manusia.  meskipun  begitu,  orang  melayu  sendiri mengakui  bahawa  ciri-ciri  tentu  dalam  diri  seseorang  itu  diturunkan  dari  ibu  bapa  kepada  anak-anak  mereka.  menyatakan  berikutnya  terdampar di  kawasan  kebukaan  kemah dan  kembang.  mereka  menyebutkan  yang  pentuk adalah  bagaimana  dengan  wancah-canap?  mempengirukan  wajah  tanpa-wacuh  atau  pembina  pada  wancah  kereta  meruput  sebab  sebenarnya  bukanlah  wancah .  wancah –wanci  pun  memang  benar-benar  warna  penjara  halus  darit  antik  secara  agung  serta  maklian  malig  semula  manis  pertugih  kesuduth  perubatan  kemudin  wancah",2.5454545454545454
10,"ini  dapat  dilihat  dalam  peribahasa  melayu  yang  berbunyi  bapa  borek  anak  rintik.  maksudnya  memang  nyata,  kalau  begitulah  keadaannya  bagi  seseorang  individu,  maka  tentunya  pengaruh  keturunan  juga  memainkan  perannanya  dalam  perkembangan kelompok  individu","ini  dapat  dilihat  dalam  peribahasa  melayu  yang  berbunyi  bapa  borek  anak  rintik.  maksudnya  memang  nyata,  kalau  begitulah  keadaannya  bagi  seseorang  individu,  maka  tentunya  pengaruh  keturunan  juga  memainkan  perannanya  dalam  pekerjaan kelompok  individu",0.03125
11,dalam  sesuatu  kaum.  perkara  yang  umumnya  tidak  diketahui  oleh  orang -orang  melayu  adalah  kesan  pembiakan  seketurunan  atau  pembiakbakaan  dalam.,dalam  sesuatu  kaum.  perkara  yang  umumnya  tidak  diketahui  oleh  orang-orang  melayuh  adalah  kesan  pembiakan  seketurunan  atau  pembiakbakaan  dalam.,0.15789473684210525
12,di  dalam  buku  ini  saya  cuba  menerangkan  bagaimana  hukum  genetik  yang  menentukan  penyaluran  ciri -ciri  keturunan  dipengaruhi  oleh  pembiakan  seketurunan  dan  lain -lain  amalan  perkahwinan.,"di  dalam  buku  ini,  saya  cuba  menerangkan  bagaimana  hukum  genetik  yang  menentukan  penyaluran  ciri-ciri  keturunan  dipergapkan  oleh  pembiakan  seketurunan  dan  lain-lain  amalan  perkahwinan.",0.24
13,pemikiran  yang  berdasarkan  kepada  prinsip -prinsip  sains  telah  banyak  didapati  mengenai  pembiakan  seketurunan  dan  kesannya  terhadap  masyarakat  manusia.,pemikiran  yang  berdasarkan  kepada  prinsip-prinsip  sains  telah  banyak  didapati  mengenai  pembiakan  seketurunan  dan  kesannya  terhadap  masyarakat  manusia.,0.1111111111111111
14,"malahan  ceril dean  darlington,  seorang  ahli  genetik  british,  di  dalam  bukunya,  the  evolution  of  men  and  society  memberi  pendapat  yang  ekstrem  bahawa  evolusi  masyarakat  manusia  ditentukan  oleh  bakar.","malahan  ceril dean darlington, seorang  ahli genetik  british, di  dalam  bukunya, the evolution of  men and  society  memberi  pendapat  yang  ekstrem bahawa  evolusi  masyarakat  manusia  ditentukan  oleh  bakar.",0.0
15,"menurut  beliau,  tamadun  akan  bekerja  bang  maju  atau  untuk  mengikol  penentuan  bakar.  beliau  menyatakan  bahawa  apabila  sesuatu  golongan  pemerintah  berkuasa,  mereka  akan  cuba  mengekalkan  kuasa  mereka  melalui  pembiakan  seketurunan  tanpa  membenarkan","menurut  beliau,  tamadun  akan  bekerja  bang  maju  atau  untuk  mengikol  penentuan  bakar.  beliau  menyatakan  bahawa  apabila  sesuatu  golongan  pemerintah  berkuasa,  mereka  akan  cuba  mengekalkan  kuasa  mereka  melalui  pembiakan  seketurunan  tanpa  membenarkan.",0.03225806451612903
16,"kemasukan  bakar  bakar  bang  ke  dalam  keturunan  mereka.  amalan  begini,  menurut  darlington  telah  mempercepatkan  kejatuhan  pemerintahan  firau,  pelimi  dan  sezer,  hipotesis  yang  menarik  ini  umumnya  agak  ke  terlaluan  untuk  diteri -mengolis","kemasukan  bakar  baker  bang  ke  dalam  keturunan  mereka.  amalan  begini,  menurut  darlington  telah  mempercepatkan  kejatuhan  pemerintahan  firauh,  pelimi  dan  sezer,  hipotesis  yang  menarik  ini  umumnya  agak  ke  terlaluan  untuk  diteri-merolis.",0.12903225806451613
17,"semua  orang,  termasuklah  orang -orang  bukan  islam.  baga  mana  pun,  darlington  cuma  menyentuh  mengenai  soal  perkahwinan  di  antara  saudara  kandung,  satu  amalan  yang  tidak  terdapat  langsung  di  kalangan  orang -orang  melayu.","semua  orang,  termasuklah  orang-orang  bukan  islam.  baga  mana  pun,  darlington  cuma  menyentuh  mengenai  soal  perkahwinan  diantara  saudara  kandung,  satu  amalan  yang  tidak  terdapat  langsung  dikalangan  orang-orang ████ melayu.",0.25806451612903225
18,"walaupun  bagaimana  pun,  takrif  moden  mengenai  pembiakan  seketurunan  telah  masuklah  amalan  perkahwinan  di  antara  sepupu  atau  kaum  keluarga  yang  dekat.","walaupun  bagaimana pun,  takrif moden  mengenai  pembiakan  seketurunan  telah  masuklah  amalan  perkahwinan  diantara  sepupu  atau  kaum  keluarga  yang  dekat.  terima kasih.",0.2
