ID,Reference,Prediction,WER
0,"pendahuluan,  pendapat  awal  saya  mengenai  masalah  yang  sedang  dihadapi  oleh  orang  melayu  dibentangkan  untuk  pertama  kalinya  sewaktu  menjawab  cabaran  yang  dikemukakan  oleh  profesor  ungku  aziz,  professor  ekonomi,  (sekarang  professor  diraja  dan  naib","pendahuluan, pendapat awal saya mengenai masalah yang sedang dihadapi oleh orang melayu dibentangkan untuk pertama kalinya sewaktu menjawab cabaran yang dikemukakan oleh prof. unku aziz, prof. ekonomi, sekarang prof. diraja dan naip",0.1875
1,"canselor  di  universiti  malaya.  di  dalam  satu  seminar  yang  diadakan  di  kuala  lumpur  pada  tahun  1966,  ketika  membincangkan  sebab-sebab  lemahnya  pencapaian  pelajar-pelajar  melayu,  saya  telah  menyebut,  antara  lain,","di dalam satu semina yang diadakan di kuala lumpur pada tahun 1966, ketika membincangkan sebab lemahnya pencapaian praja-praja melayu, saya telah menyebut antara lain",0.32142857142857145
2,tentang  pengaruh  ke  turunan  dan  alam  sekitar  sebagai  faktor -faktor  yang  menyebabkan  wujudnya  masalah  ini.,tentang pengaruh keturunan dan alam sekitar sebagai faktor-faktor yang menyebabkan wujudnya masalah ini.,0.26666666666666666
3,"memang  tidak  dapat  dinafikan  bahawa  lain-lain  faktor  seperti  dasar  pelajaran,  kemudahan  yang  tidak  mencukupi,  kekurangan  guru  serta  guru  yang  tidak  cukup  terlatih  turut  memainkan  peranan  dalam  meningkatkan  lagi  peratus  kegagalan  di  kalangan  pelajar","memang tidak dapat dinafikan bahawa lain-lain faktor seperti dasar pelajaran, kemudahan yang tidak mencukupi, kekurangan guru seter guru yang tidak cukup terlatih turut memainkan peranan dalam meningkatkan lagi peratus kegagalan di kalangan pelajar",0.030303030303030304
4,"melayu.  namun,  pada  hemat  saya,  faktor -faktor  keturunan  dan  alam  sekitar  tidak  boleh  diketepikan  begitu  sahaja  tanpa  diberi  perhatian  yang  serius.","namun, pada hemat saya, faktor-faktor keturunan dan alam sekitar tidak boleh diketebikan begitu sahaja tanpa diberi perhatian yang serius.",0.19047619047619047
5,pandangan  yang  sedemikian  pada  umumnya  telah  tidak  dipersetujui  oleh  peserta -peserta  seminar  terutama sekali  oleh  profesor  ungku aziz  sebab  pandangan  tersebut  dikatakan  memberi  takrif  bahawa  orang  melayu  memang  pada  lahiriahnya  adalah  bersifat,"pandangan yang sedemikian pada umumnya telah tidak dipesetujui oleh peserta-peserta semina, terutama sekali oleh prof. unku aziz sebab pandangan tersebut dikatakan memberitah krif bahawa orang melayu memang pada lahir yahnya adalah bersifat",0.3125
6,"inferior  atau  rendandiri.  oleh  kerana sifat  ini  dikatakan  terdapat  dalam  zuriat  orang  melayu,  maka  ini  bermakna  is  kekal  turun-temurun.","infiria atau rendan diri. oleh kerana sifat ini dikatakan terdapat dalam zuriak orang melayu, maka ini bermakna iskikal turun temulun.",0.3684210526315789
7,ini  bukanlah  apa  yang  saya  maksudkan  atau  apa  yang  telah  saya  rumuskan.  tujuan  saya  ialah  mahu  menumpukan  perhatian  kepada  beberapa  faktor  hakiki  yang  merencatkan  kemajuan  orang  melayu  terutama  faktor  yang  boleh  dibaiki.,"ini bukanlah apa yang saya maksudkan atau apa yang telah saya rumuskan. tujuan saya ialah mahu menumpukan perhatian kepada beberapa faktor hakiki yang merencatkan kemajuan orang melayu, terutama faktor-faktor yang boleh dibayar.",0.09375
8,"jika  amalan  yang  dianggap  kurang  baik  itu  diketahui  dan  diakui  oleh  umum,  maka  lebih  mudahlah  untuk  mengatasinya  pada  umumnya  orang-orang  islam,  termasuk  orang -orang  melayu  memang  tidak  dapat  menerima  fikiran -fikiran  moden  mengenai  evolusi","jika amalannya dianggap kurang baik itu diketahui dan diakui oleh umum, maka lebih mudahlah untuk mengatasinya, pada umumnya, orang-orang islam, termasuk orang- orang melayu memang tidak dapat menerima fikiran-fikiran modern mengenai evolusi",0.2647058823529412
9,manusia.  meskipun  begitu  orang  melayu  sendiri  mengakui  bahawa  ciri-ciri  tentu  dalam  diri  seseorang  itu  diturunkan  dari  ibu  bapa  kepada  anak -anak  mereka.,"meskipun begini, orang melayu sendiri mengakui bahawa ciri-ciri tertentu dalam diri seseorang itu diturunkan dari ibu bapa kepada anak-anak mereka.",0.22727272727272727
