Text Chunk,Start-End (s),Audio File,Matched PDF Sentence,Similarity Score,small_transcription,large_transcription,wer_small,wer_large
"Pendahuluan,  pendapat  awal  saya  mengenai  masalah  yang  sedang  dihadapi  oleh  orang  melayu  dibentangkan  untuk  pertama  kalinya  sewaktu  menjawab  cabaran  yang  dikemukakan  oleh  Profesor  Ungku  Aziz,  Professor  Ekonomi,  (sekarang  Professor  Diraja  dan  Naib",0.00-14.14,final_segments/seg_0_00000.mp3,"Pendahuluan Pendapat awal saya mengenai masalah yang sedang dihadapi oleh orang Melayu dibentangkan untuk pertama kalinya sewaktu menjawab cabaran yang dikemukakan oleh Profesor Ungku Aziz, Profesor Ekonomi (sekarang Profesor Diraja dan Naib",0.859," Pendahuluan, pendapat awal saya mengenai masalah yang sedang dihadapi oleh orang Melayu dibentangkan untuk pertama kalinya sewaktu menjawab cabaran yang dikemukakan oleh Prof. Unku Aziz, Prof. Ekonomi, sekarang Prof. Diraja dan naip"," Pendahuluan. Pendapat awal saya mengenai masalah yang sedang dihadapi oleh orang Melayu dibentangkan untuk pertama kalinya sewaktu menjawab cabaran yang dikemukakan oleh Prof. Ungku Aziz, Prof. Ekonomi, sekarang Prof. Diraja dan Naib.",0.1875,0.1875
"Canselor  di  Universiti  Malaya.  Di  dalam  satu  seminar  yang  diadakan  di  Kuala  Lumpur  pada  tahun  1966,  ketika  membincangkan  sebab-sebab  lemahnya  pencapaian  pelajar-pelajar  melayu,  saya  telah  menyebut,  antara  lain,",14.14-28.18,final_segments/seg_0_01414.mp3,"Di dalam satu seminar yang diadakan di Kuala Lumpur pada tahun 1966, ketika mem bincangkan sebab-sebab lemahnya pencapaian pelajar-pelajar Melayu, saya telah menyebut, antara lain, ",0.697," Di dalam satu semina yang diadakan di Kuala Lumpur pada tahun 1966, ketika membincangkan sebab lemahnya pencapaian Praja-Praja Melayu, saya telah menyebut antara lain"," Di dalam satu seminar yang diadakan di Kuala Lumpur pada tahun 1966, ketika membincangkan sebab-sebab lemahnya pencapaian pelajar-pelajar Melayu, saya telah menyebut, antara lain,",0.32142857142857145,0.14285714285714285
tentang  pengaruh  ke  turunan  dan  alam  sekitar  sebagai  faktor -faktor  yang  menyebabkan  wujudnya  masalah  ini.,28.48-34.12,final_segments/seg_0_02848.mp3,"tentang pengaruh keturunan dan alam sekitar sebagai faktor-faktor yang menyebabkan wujudnya masalah ini. Alam sekitar turut memainkan peranan yang penting dalam membentuk diri seseorang, keluarganya dan kaumnya.",0.798, tentang pengaruh keturunan dan alam sekitar sebagai faktor-faktor yang menyebabkan wujudnya masalah ini., tentang pengaruh keturunan dan alam sekitar sebagai faktor-faktor yang menyebabkan wujudnya masalah ini.,0.26666666666666666,0.26666666666666666
"Memang  tidak  dapat  dinafikan  bahawa  lain-lain  faktor  seperti  dasar  pelajaran,  kemudahan  yang  tidak  mencukupi,  kekurangan  guru  serta  guru  yang  tidak  cukup  terlatih  turut  memainkan  peranan  dalam  meningkatkan  lagi  peratus  kegagalan  di  kalangan  pelajar",34.12-48.32,final_segments/seg_0_03411.mp3,"Memang tidak dapat dinafikan bahawa lain-lain faktor seperti dasar pelajaran, kemudahan yang tidak mencukupi, kekurangan guru serta guru yang tidak cukup terlatih turut memainkan peranan dalam meningkatkan lagi peratus kegaga - lan di kalangan pelajar Melayu.",0.978," Memang tidak dapat dinafikan bahawa lain-lain faktor seperti dasar pelajaran, kemudahan yang tidak mencukupi, kekurangan guru seter guru yang tidak cukup terlatih turut memainkan peranan dalam meningkatkan lagi peratus kegagalan di kalangan pelajaran."," Memang tidak dapat dinafikan bahawa lain-lain faktor seperti dasar pelajaran, kemudahan yang tidak mencukupi, kekurangan guru serta guru yang tidak cukup terlatih turut memainkan peranan dalam meningkatkan lagi peratus kegagalan di kalangan pelajar",0.06060606060606061,0.0
"melayu.  Namun,  pada  hemat  saya,  faktor -faktor  keturunan  dan  alam  sekitar  tidak  boleh  diketepikan  begitu  sahaja  tanpa  diberi  perhatian  yang  serius.",48.32-57.34,final_segments/seg_0_04832.mp3,"Namun, pada hemat saya, faktor-faktor keturunan dan alam sekitar tidak boleh diketepikan begitu sahaja tanpa diberi perhatian yang serius.",0.901," Namun, pada hemat saya, faktor-faktor keturunan dan alam sekitar tidak boleh diketebikan begitu sahaja tanpa diberi perhatian yang serius."," Namun, pada hemat saya, faktor-faktor keturunan dan alam sekitar tidak boleh diketepikan begitu sahaja tanpa diberi perhatian yang serius.",0.19047619047619047,0.14285714285714285
Pandangan  yang  sedemikian  pada  umumnya  telah  tidak  dipersetujui  oleh  peserta -peserta  seminar  terutama sekali  oleh  Profesor  Ungku Aziz  sebab  pandangan  tersebut  dikatakan  memberi  takrif  bahawa  orang  melayu  memang  pada  lahiriahnya  adalah  bersifat,57.34-71.64,final_segments/seg_0_05734.mp3,"Pandangan yang sedemikian pada umumnya telah tidak dipersetujui oleh peserta-peserta seminar, terutama sekali oleh Profesor Ungku Aziz sebab pandangan tersebut dikatakan memberi takrif bahawa orang Melayu memang pada lahiriahnya adalah bersifat inferior atau rendandiri.",0.942," Pandangan yang sedemikian pada umumnya telah tidak dipesetujui oleh peserta-peserta semina, terutama sekali oleh Prof. Unku Aziz sebab pandangan tersebut dikatakan memberitah krif bahawa orang Melayu memang pada lahir yahnya adalah bersifat"," Pandangan yang sedemikian pada umumnya telah tidak dipersetujui oleh peserta-peserta seminar, terutama sekali oleh Prof. Ungku Aziz sebab pandangan tersebut dikatakan memberi takrif bahawa orang Melayu memang pada lahirnya adalah bersifat",0.3125,0.15625
"inferior  atau  rendandiri.  Oleh  kerana sifat  ini  dikatakan  terdapat  dalam  zuriat  orang  melayu,  maka  ini  bermakna  is  kekal  turun-temurun.",71.64-79.90,final_segments/seg_0_07164.mp3,Oleh kerana sifat ini dikatakan terdapat dalam zuriat orang Melayu maka ini ber makna is kekal turun-temurun.,0.838," infiria atau rendan diri. Oleh kerana sifat ini dikatakan terdapat dalam zuriak orang Melayu, maka ini bermakna iskikal turun temulun."," inferior atau rendan diri. Oleh kerana sifat ini dikatakan terdapat dalam zuriat orang Melayu, maka ini bermakna is kekal turun-temurun.",0.3684210526315789,0.10526315789473684
Ini  bukanlah  apa  yang  saya  maksudkan  atau  apa  yang  telah  saya  rumuskan.  Tujuan  saya  ialah  mahu  menumpukan  perhatian  kepada  beberapa  faktor  hakiki  yang  merencatkan  kemajuan  orang  melayu  terutama  faktor  yang  boleh  dibaiki.,79.90-93.60,final_segments/seg_0_07990.mp3,Ini bukanlah apa yang saya maksudkan atau apa yang telah saya rumuskan.,0.915," Ini bukanlah apa yang saya maksudkan atau apa yang telah saya rumuskan. Tujuan saya ialah mahu menumpukan perhatian kepada beberapa faktor hakiki yang merencatkan kemajuan orang Melayu, terutama faktor-faktor yang boleh dibayar."," Ini bukanlah apa yang saya maksudkan atau apa yang telah saya rumuskan. Tujuan saya ialah mahu menumpukan perhatian kepada beberapa faktor hakiki yang merencatkan kemajuan orang Melayu, terutama faktor-faktor yang boleh dibaiki.",0.09375,0.0625
"Jika  amalan  yang  dianggap  kurang  baik  itu  diketahui  dan  diakui  oleh  umum,  maka  lebih  mudahlah  untuk  mengatasinya  pada  umumnya  orang-orang  Islam,  termasuk  orang -orang  melayu  memang  tidak  dapat  menerima  fikiran -fikiran  moden  mengenai  evolusi",94.32-108.38,final_segments/seg_0_09432.mp3,"Jika amalan yang dianggap kurang baik itu diketahui dan diakui oleh umum, maka lebih mudahlah untuk mengatasinya.Pada umumnya, orang-orang Islam, termasuk orang-orang Melayu, memang tidak dapat menerima fikiran-fikiran moden mengenai evolusi manusia.",0.957," Jika amalannya dianggap kurang baik itu diketahui dan diakui oleh umum, maka lebih mudahlah untuk mengatasinya, pada umumnya, orang-orang Islam, termasuk orang-orang Melayu memang tidak dapat menerima fikiran-fikiran modern mengenai evolusi"," Jika amalan yang dianggap kurang baik itu diketahui dan diakui oleh umum, maka lebih mudahlah untuk mengatasinya. Pada umumnya, orang-orang Islam, termasuk orang-orang Melayu, memang tidak dapat menerima fikiran-fikiran modern mengenai evolusi.",0.2647058823529412,0.2647058823529412
manusia.  Meskipun  begitu  orang  melayu  sendiri  mengakui  bahawa  ciri-ciri  tentu  dalam  diri  seseorang  itu  diturunkan  dari  ibu  bapa  kepada  anak -anak  mereka.,108.38-118.14,final_segments/seg_0_10838.mp3,"Meskipun be - gitu, orang Melayu sendiri mengakui bahawa ciri-ciri tertentu dalam diri seseorang itu diturunkan dari ibu bapa kepada anak-anak mereka.",0.796," Meskipun begini, orang Melayu sendiri mengakui bahawa ciri-ciri tertentu dalam diri seseorang itu diturunkan dari ibu bapa kepada anak-anak mereka."," Meskipun begitu, orang Melayu sendiri mengakui bahawa ciri-ciri tertentu dalam diri seseorang itu diturunkan dari ibu bapa kepada anak-anak mereka.",0.22727272727272727,0.22727272727272727
